"id","time","I"
23,3.99118569337784,12
23,4.18202659315817,13
23,4.67851009988104,14
23,5.08752189590497,15
23,5.23650773891285,16
23,5.53475686755414,17
23,5.64879172958692,18
23,5.87470881776667,19
23,6.12889398086005,20
23,6.35493923127442,21
23,6.47813442560392,22
23,6.57779894917187,23
23,6.7615669513016,24
23,7.03842750412987,25
23,7.21631147686258,26
23,7.31681134861269,27
23,7.38320312737759,28
23,7.5175572445321,29
23,7.66095148401368,30
23,7.71170667039263,31
23,7.85604357723816,32
23,7.97556197598883,33
23,8.1261012582391,34
23,8.32031424806719,35
23,8.55204709172267,36
23,9.06521706055642,37
23,9.39898730012647,38
23,9.41406422150644,39
23,9.63518910077311,40
23,9.65502551653882,41
23,9.75160945203192,42
23,9.79734200204449,43
23,9.87847313521767,44
24,0,1
24,0.184162370860577,2
24,0.729606911090427,3
24,1.12134562966078,4
24,2.69726730245282,5
24,2.85710299704763,6
24,3.26676464472329,7
24,3.49916220447046,8
24,3.63920899105005,9
24,3.91764380325223,10
24,4.02262943968768,11
24,4.04220893941955,12
24,4.55194397957823,13
24,4.71245510509464,14
24,4.97335352003094,15
24,5.38087294330771,16
24,5.43029455184569,17
24,5.43464764345564,18
24,5.50809096403547,19
24,5.56454438691902,20
24,5.57102179707902,21
24,5.63620329797491,22
24,5.72503195118346,23
24,5.74197251909294,24
24,6.10352923073386,25
24,6.13923951472234,26
24,6.22832632194571,27
24,6.25649469218427,28
24,6.27086025255111,29
24,6.40270872293316,30
24,6.64442700994288,31
24,7.11425011306015,32
24,7.11545251397112,33
24,7.15811711751141,34
24,7.19311670314181,35
24,7.21989480793668,36
24,7.36634158957772,37
24,7.38945428258387,38
24,7.75711742315717,39
24,7.76335711451748,40
24,8.04706129552037,41
24,8.18952953261612,42
24,8.21109592563259,43
24,8.25657875726618,44
24,8.2975282797838,45
24,8.45539046405582,46
24,8.48075105077332,47
24,8.94782870330498,48
24,8.99100171840322,49
24,9.03633730951795,50
24,9.18836442140004,51
24,9.27796607004278,52
24,9.35087148006124,53
24,9.81692439431262,54
25,0,1
25,5.67380455719868,2
25,6.46044619774387,3
25,6.53186696925484,4
25,6.62493741999033,5
25,7.2023509523808,6
25,7.6359295471661,7
25,8.1717846819625,8
25,8.50053072112001,9
25,8.55027840054208,10
25,8.83847694461702,11
25,9.00725952219941,12
25,9.04397242999738,13
25,9.5250541452866,14
25,9.58065619213279,15
25,9.66654606446189,16
25,9.7189431557581,17
25,9.88727202131877,18
226,0,1
226,1.76657787373454,2
226,2.61753203641873,3
226,2.89769098555233,4
226,2.90461245011302,5
226,3.56102874442085,6
226,3.68126634565123,7
226,4.06542423615684,8
226,4.19059141476482,9
226,4.27776406249599,10
226,4.29533552991848,11
226,4.3627965725885,12
226,4.76677411894624,13
226,4.85150104795847,14
226,4.8804538395859,15
226,5.00805708528062,16
226,5.01262914495721,17
226,5.07582124602271,18
226,5.25629397422603,19
226,5.34224956395635,20
226,5.4995849363589,21
226,5.63941255204677,22
226,6.11073568667653,23
226,6.13179230314743,24
226,6.57605888340453,25
226,6.66231595613426,26
226,6.66885087925512,27
226,6.72695900944282,28
226,6.72825367564971,29
226,6.77313974914332,30
226,6.81375694159014,31
226,7.2921015848538,32
226,7.37716789845553,33
226,7.3805079502127,34
226,7.47953541428783,35
226,7.53382342003154,36
226,7.54999452103641,37
226,7.55807090675936,38
226,7.66705311683206,39
226,7.8082849544981,40
226,7.99256717413457,41
226,8.25227710102954,42
226,8.271216898663,43
226,8.65472313186001,44
226,8.9437816170199,45
226,9.57941992385196,46
226,9.63510739638295,47
226,9.90707171855889,48
227,0,1
227,0.212153505407653,2
227,1.17279968297413,3
227,1.49899039829227,4
227,2.31815380917163,5
227,3.18271761372892,6
227,3.3553241223559,7
227,4.03445357578058,8
227,4.18888158223488,9
227,4.19175917286487,10
227,4.22718558412106,11
227,4.87949165294871,12
227,4.8892409862065,13
227,5.01723069045988,14
227,5.10449927603045,15
227,5.1639918045518,16
227,5.17354938768677,17
227,5.20884776144375,18
227,5.90256216740304,19
227,5.9443892275705,20
227,5.94759792139529,21
227,5.98483100307782,22
227,6.14574936397757,23
227,6.39191693149914,24
227,6.51124941303115,25
227,6.74682561350485,26
227,6.80138801669319,27
227,7.30433492805087,28
227,7.33231655639582,29
227,7.61571864676261,30
227,7.77070070248068,31
227,7.77198785259472,32
227,7.95806786518699,33
227,7.99008956156839,34
227,8.1300990800816,35
227,8.1974342597426,36
227,8.29516321635269,37
227,8.41281416841873,38
227,8.44229053626048,39
227,8.85308687166865,40
227,8.94036546148448,41
227,8.97513898880746,42
227,9.12353518573854,43
227,9.15140635450621,44
227,9.35532202065287,45
227,9.59506306637869,46
227,9.61310241356612,47
227,9.69067831717759,48
227,9.70109900682793,49
227,9.87873654492234,50
228,0,1
228,2.57075508132367,2
228,2.81275021372795,3
228,5.32305653188044,4
228,5.35547302016771,5
228,5.66386713631263,6
228,5.70489842403815,7
228,5.94313967258054,8
228,6.04650773289471,9
228,6.24587155084979,10
228,6.63793079087279,11
228,6.91250229390429,12
228,7.03247190864427,13
228,7.04024976029233,14
228,7.10064422075497,15
228,7.15029325238082,16
228,7.16220139887314,17
228,7.27821232514584,18
228,7.61765185623406,19
228,7.71675679361045,20
228,7.83076781032505,21
228,8.21673180486594,22
228,8.60594081336059,23
228,8.63694111025341,24
228,8.78217548452528,25
228,8.94377219099736,26
228,8.99254974861607,27
228,9.03427715836118,28
228,9.16587583914163,29
228,9.30674739602823,30
228,9.44298245619293,31
228,9.51179214362119,32
228,9.51255686038288,33
228,9.68229821430666,34
228,9.76173415776397,35
228,9.805499106396,36
228,9.81596752532583,37
229,0,1
229,1.46760053418998,2
229,1.69123743901772,3
229,3.35828569733663,4
229,4.07110004716157,5
229,5.68156471778221,6
229,6.23426044212837,7
229,6.82186581422158,8
229,6.96651634607369,9
229,6.97488093699337,10
229,7.05875084933339,11
229,7.07084972089191,12
229,7.29637993972063,13
229,7.44025531917525,14
229,7.49456498549119,15
229,7.51862123948735,16
229,7.52973130498168,17
229,7.77719474622173,18
229,7.77797184783633,19
229,8.08201818245763,20
229,8.15276254926177,21
229,8.24957952731408,22
229,8.25652401687069,23
229,8.31755266742774,24
229,8.31783464043126,25
229,8.53975810649973,26
229,8.69071302555635,27
229,9.16876214617346,28
229,9.20374636156483,29
229,9.76351930925778,30
229,9.78344183918632,31
229,9.80329895932812,32
229,9.90079336614742,33
230,0,1
230,0.499034133175851,2
230,1.34411811090258,3
230,1.92753811621746,4
230,1.96388695661678,5
230,2.78300852651704,6
230,3.1301512596521,7
230,3.55812687789136,8
230,3.77334319077645,9
230,4.05163313721067,10
230,4.29271455754334,11
230,4.5474348616331,12
230,4.63867097068293,13
230,4.64649331910933,14
230,4.94938045424091,15
230,4.967873482226,16
230,5.05474583140171,17
230,5.15376702442909,18
230,5.24441991884996,19
230,5.25601647188978,20
230,5.33769870335327,21
230,5.54064473472454,22
230,5.74851664616264,23
230,5.89908606199511,24
230,6.00089985086055,25
230,6.11436679435721,26
230,6.1805374233152,27
230,6.29294539083225,28
230,6.32923809707858,29
230,6.50441959352627,30
230,6.69011947885362,31
230,6.744532887943,32
230,6.91172176555139,33
230,6.94729512184396,34
230,6.97416178026612,35
230,7.02651879343953,36
